Date	E1-0.0241	E2-0.0317	E3-0.0416	E4-0.0625	E5-0.0900	E6-0.1275	E7-0.1725	E8-0.2700	E9-0.4075	E10-0.6250	E11-0.9250	E12-1.3000	E13-2.0000
1989-09-22	7.02088e+00	6.91479e+00	6.73989e+00	6.29968e+00	5.65105e+00	4.73455e+00	3.86499e+00	3.42100e+00	3.05657e+00	2.38786e+00	1.38650e+00	8.10273e-02	-2.41694e+00
1989-09-23	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1989-09-24	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1989-09-25	6.18888e+00	6.05347e+00	5.84277e+00	5.33594e+00	4.62288e+00	3.74056e+00	3.27748e+00	3.09556e+00	2.80957e+00	2.25364e+00	1.39204e+00	2.51700e-01	-1.44719e+00
1989-09-26	6.77264e+00	6.60430e+00	6.34967e+00	5.74662e+00	4.90194e+00	3.79355e+00	2.97890e+00	2.59865e+00	2.21483e+00	1.58831e+00	6.88826e-01	-4.66389e-01	-2.30885e+00
1989-09-27	6.06305e+00	5.96849e+00	5.80902e+00	5.40331e+00	4.80688e+00	3.99273e+00	3.28703e+00	2.75408e+00	2.15472e+00	1.11822e+00	-3.81893e-01	-2.22813e+00	-4.40734e+00
1989-09-28	6.06984e+00	5.96283e+00	5.79108e+00	5.37204e+00	4.77826e+00	3.98955e+00	3.29729e+00	2.75478e+00	2.20609e+00	1.28729e+00	-4.49495e-04	-1.60083e+00	-4.53544e+00
1989-09-29	5.92208e+00	5.79453e+00	5.59399e+00	5.10779e+00	4.41473e+00	3.47489e+00	2.67825e+00	2.30951e+00	2.14873e+00	2.08672e+00	2.02456e+00	1.88201e+00	1.50006e+00
1989-09-30	6.26259e+00	6.11069e+00	5.87884e+00	5.32829e+00	4.55224e+00	3.47588e+00	2.41259e+00	2.20841e+00	2.29533e+00	2.32921e+00	2.27840e+00	2.13600e+00	1.75356e+00
1989-10-01	6.32120e+00	6.22285e+00	6.05895e+00	5.64516e+00	5.03805e+00	4.19339e+00	3.40089e+00	2.89090e+00	2.44378e+00	1.72667e+00	1.16392e+00	9.51116e-01	5.69734e-01
1989-10-02	5.93399e+00	5.83931e+00	5.68029e+00	5.27690e+00	4.68874e+00	3.89150e+00	3.21650e+00	2.76364e+00	2.27906e+00	1.42792e+00	1.86107e-01	-1.39928e+00	-4.32380e+00
